ip_dst,ip_len,ip_proto,ip_src,ip_time,ip_ttl,tcp_dport,tcp_flag,tcp_sport
192.168.221.11,125,6,142.250.204.100,1665372721.1610022,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.1612809,64,443,A,51406
192.168.221.11,83,6,142.250.204.100,1665372721.1615005,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.1617746,64,443,A,51406
192.168.221.11,91,6,142.250.204.100,1665372721.1620262,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.1623008,64,443,A,51406
142.250.204.100,91,6,192.168.221.11,1665372721.162519,64,443,PA,51406
142.250.204.100,87,6,192.168.221.11,1665372721.1627965,64,443,PA,51406
192.168.221.11,52,6,142.250.66.99,1665372721.163074,119,37276,A,443
192.168.221.11,52,6,142.250.204.100,1665372721.1632879,54,51406,A,443
192.168.221.11,91,6,113.171.69.146,1665372721.1635075,88,46138,PA,443
113.171.69.146,52,6,192.168.221.11,1665372721.1637778,64,443,A,46138
192.168.221.11,52,6,113.171.69.146,1665372721.1639922,88,46138,FA,443
113.171.69.146,52,6,192.168.221.11,1665372721.1642115,64,443,FA,46138
192.168.221.11,52,6,113.171.69.146,1665372721.1644275,88,46138,A,443
192.168.221.11,91,6,113.171.201.83,1665372721.1653185,85,58690,PA,443
113.171.201.83,52,6,192.168.221.11,1665372721.1656017,64,443,A,58690
113.171.201.83,52,6,192.168.221.11,1665372721.165821,64,443,FA,58690
192.168.221.11,52,6,113.171.201.83,1665372721.1660812,85,58690,FA,443
113.171.201.83,52,6,192.168.221.11,1665372721.166304,64,443,A,58690
192.168.221.11,52,6,113.171.201.83,1665372721.1665256,85,58690,A,443
31.13.75.1,84,6,192.168.221.11,1665372721.180436,64,443,PA,54112
31.13.75.1,84,6,192.168.221.11,1665372721.180752,64,443,PA,54116
192.168.221.11,52,6,31.13.75.1,1665372721.1856554,84,54112,A,443
192.168.221.11,52,6,31.13.75.1,1665372721.1858919,85,54116,A,443
192.168.221.11,80,6,31.13.75.1,1665372721.1861598,84,54112,PA,443
31.13.75.1,52,6,192.168.221.11,1665372721.1864479,64,443,A,54112
192.168.221.11,80,6,31.13.75.1,1665372721.1866684,85,54116,PA,443
31.13.75.1,52,6,192.168.221.11,1665372721.187017,64,443,A,54116
91.108.56.117,365,6,192.168.221.11,1665372721.1885664,64,443,PA,56476
192.168.221.11,52,6,91.108.56.117,1665372721.188849,52,56476,A,443
104.18.42.171,95,6,192.168.221.11,1665372721.1891603,64,443,PA,39146
104.18.42.171,199,6,192.168.221.11,1665372721.189441,64,443,PA,39146
185.199.108.153,137,6,192.168.221.11,1665372721.1897147,64,443,PA,59458
192.168.221.11,40,6,104.18.42.171,1665372721.1900237,55,39146,A,443
192.168.221.11,40,6,104.18.42.171,1665372721.1902695,55,39146,A,443
192.168.221.11,75,6,104.18.42.171,1665372721.1905103,55,39146,PA,443
192.168.221.11,595,6,104.18.42.171,1665372721.1907842,55,39146,PA,443
104.18.42.171,40,6,192.168.221.11,1665372721.1910625,64,443,A,39146
192.168.221.11,52,6,185.199.108.153,1665372721.1912763,54,59458,A,443
192.168.221.11,241,6,185.199.108.153,1665372721.191492,54,59458,PA,443
185.199.108.153,52,6,192.168.221.11,1665372721.1917613,64,443,A,59458
185.199.108.153,87,6,192.168.221.11,1665372721.1920068,64,443,PA,59458
192.168.221.11,52,6,185.199.108.153,1665372721.19228,54,59458,A,443
142.250.204.46,367,6,192.168.221.11,1665372721.1924984,64,443,PA,36030
192.168.221.11,52,6,142.250.204.46,1665372721.1927893,55,36030,A,443
192.168.221.11,123,6,142.250.204.46,1665372721.1930087,55,36030,PA,443
192.168.221.11,85,6,142.250.204.46,1665372721.193288,55,36030,PA,443
192.168.221.11,83,6,142.250.204.46,1665372721.1935568,55,36030,PA,443
192.168.221.11,91,6,142.250.204.46,1665372721.1938305,55,36030,PA,443
142.250.204.46,52,6,192.168.221.11,1665372721.1942105,64,443,A,36030
142.250.204.46,91,6,192.168.221.11,1665372721.1944523,64,443,PA,36030
192.168.221.11,52,6,142.250.204.46,1665372721.1947289,55,36030,A,443
104.18.42.171,95,6,192.168.221.11,1665372721.2123685,64,443,PA,39146
104.18.42.171,254,6,192.168.221.11,1665372721.2126577,64,443,PA,39146
104.18.42.171,199,6,192.168.221.11,1665372721.2129328,64,443,PA,39146
192.168.221.11,75,6,104.18.42.171,1665372721.2135582,55,39146,PA,443
192.168.221.11,75,6,104.18.42.171,1665372721.2138267,55,39146,PA,443
104.18.42.171,40,6,192.168.221.11,1665372721.2141345,64,443,A,39146
192.168.221.11,595,6,104.18.42.171,1665372721.2143564,55,39146,PA,443
192.168.221.11,572,6,104.18.42.171,1665372721.2146378,55,39146,PA,443
104.18.42.171,75,6,192.168.221.11,1665372721.2149146,64,443,PA,39146
216.58.203.67,60,6,192.168.221.11,1665372721.2152,64,443,S,60320
104.18.42.171,40,6,192.168.221.11,1665372721.2154417,64,443,A,39146
192.168.221.11,60,6,216.58.203.67,1665372721.2156518,117,60320,SA,443
216.58.203.67,52,6,192.168.221.11,1665372721.2158759,64,443,A,60320
216.58.203.67,766,6,192.168.221.11,1665372721.2161021,64,443,PA,60320
192.168.221.11,40,6,104.18.42.171,1665372721.2164087,55,39146,A,443
192.168.221.11,52,6,216.58.203.67,1665372721.216647,117,60320,A,443
192.168.221.11,378,6,216.58.203.67,1665372721.2168703,117,60320,PA,443
216.58.203.67,52,6,192.168.221.11,1665372721.217149,64,443,A,60320
216.58.203.67,126,6,192.168.221.11,1665372721.2173712,64,443,PA,60320
104.18.42.171,95,6,192.168.221.11,1665372721.2176454,64,443,PA,39146
104.18.42.171,199,6,192.168.221.11,1665372721.217915,64,443,PA,39146
192.168.221.11,40,6,104.18.42.171,1665372721.2183049,55,39146,A,443
192.168.221.11,40,6,104.18.42.171,1665372721.2185647,55,39146,A,443
192.168.221.11,75,6,104.18.42.171,1665372721.2188056,55,39146,PA,443
104.18.42.171,40,6,192.168.221.11,1665372721.2190833,64,443,A,39146
192.168.221.11,904,6,216.58.203.67,1665372721.2193081,117,60320,PA,443
216.58.203.67,52,6,192.168.221.11,1665372721.2196536,64,443,A,60320
192.168.221.11,572,6,104.18.42.171,1665372721.2198768,55,39146,PA,443
104.18.42.171,40,6,192.168.221.11,1665372721.220152,64,443,A,39146
142.250.204.100,1438,6,192.168.221.11,1665372721.220368,64,443,A,51406
142.250.204.100,454,6,192.168.221.11,1665372721.2206516,64,443,PA,51406
192.168.221.11,52,6,142.250.204.100,1665372721.220934,54,51406,A,443
192.168.221.11,123,6,142.250.204.100,1665372721.2211614,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.2214358,64,443,A,51406
192.168.221.11,83,6,142.250.204.100,1665372721.221655,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.221926,64,443,A,51406
192.168.221.11,91,6,142.250.204.100,1665372721.222157,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.2225115,64,443,A,51406
142.250.204.100,91,6,192.168.221.11,1665372721.2227285,64,443,PA,51406
192.168.221.11,52,6,142.250.204.100,1665372721.2230105,54,51406,A,443
142.250.204.100,292,6,192.168.221.11,1665372721.2235587,64,443,PA,51406
192.168.221.11,52,6,142.250.204.100,1665372721.2238307,54,51406,A,443
142.250.204.100,1438,6,192.168.221.11,1665372721.2240508,64,443,A,51406
142.250.204.100,442,6,192.168.221.11,1665372721.2243335,64,443,PA,51406
192.168.221.11,207,6,142.250.204.100,1665372721.2246096,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.2248876,64,443,A,51406
192.168.221.11,83,6,142.250.204.100,1665372721.2251086,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.2254634,64,443,A,51406
192.168.221.11,91,6,142.250.204.100,1665372721.2257147,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.226022,64,443,A,51406
142.250.204.100,91,6,192.168.221.11,1665372721.226243,64,443,PA,51406
142.250.204.100,1438,6,192.168.221.11,1665372721.22682,64,443,A,51406
142.250.204.100,311,6,192.168.221.11,1665372721.2271152,64,443,PA,51406
142.250.204.100,1438,6,192.168.221.11,1665372721.22743,64,443,A,51406
142.250.204.100,296,6,192.168.221.11,1665372721.2277226,64,443,PA,51406
192.168.221.11,52,6,142.250.204.100,1665372721.2279985,54,51406,A,443
192.168.221.11,52,6,142.250.204.100,1665372721.228217,54,51406,A,443
192.168.221.11,52,6,142.250.204.100,1665372721.2284343,54,51406,A,443
192.168.221.11,52,6,142.250.204.100,1665372721.2286472,54,51406,A,443
192.168.221.11,52,6,142.250.204.100,1665372721.228859,54,51406,A,443
192.168.221.11,52,6,142.250.204.100,1665372721.229084,54,51406,A,443
192.168.221.11,167,6,142.250.204.100,1665372721.2293007,54,51406,PA,443
192.168.221.11,1438,6,142.250.204.100,1665372721.2295895,54,51406,PA,443
192.168.221.11,1438,6,142.250.204.100,1665372721.2298758,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.2301958,64,443,A,51406
192.168.221.11,1438,6,142.250.204.100,1665372721.2304156,54,51406,PA,443
192.168.221.11,1438,6,142.250.204.100,1665372721.2307055,54,51406,A,443
